person,label
4886f805,0.021333955
0297fc1e,0.13089387
2d681dd8,0.032208376
cccea85e,0.1336288
4c8a8b93,0.062156726
29ebb414,0.026068492
3dc1950f,0.13403639
8ea4c165,0.08702641
d8cfe234,0.13146731
d6bc64df,0.10229922
ec9c4059,0.09907573
d21b8e6b,0.01900005
2a724d87,0.025577178
686c49c9,0.1840017
a08d42ea,0.043503307
c98f5cf1,0.14709085
d614c608,0.025808154
e45acd53,0.19037843
7d876393,0.18816695
f5af843f,0.09249022
5a724794,0.13432695
00091926,0.1452473
55d1e0ee,0.12392027
f87be219,0.017702196
49c19e32,0.051060114
bb78c182,0.026658079
e2bfe05f,0.02252604
0e9d0ae2,0.022742484
cb68850c,0.0226303
f30ef764,0.020670146
ca5fa859,0.021663448
4f06f2dd,0.040284663
872d9b83,0.30295542
dca7e4fa,0.10886427
3cb2bfc5,0.027052246
0ec008ff,0.56935793
19876c5b,0.07672389
36606944,0.07250099
3c36c384,0.044573598
25ec69e5,0.024244662
02a9fd4c,0.04913341
e9c847d7,0.07166287
8f7d334b,0.032523956
fd683087,0.11589144
aa5593bc,0.06887113
e39a4b4f,0.038335167
8aeb37ef,0.08213277
c76b8417,0.26374748
b51c3897,0.090747446
49013e40,0.1325768
18ad1f7c,0.07293294
ea679233,0.35352907
39df97e0,0.19102426
4473cb91,0.022400407
a90bb821,0.081080854
66f3c5a8,0.031983748
6972936f,0.06616186
f484e20b,0.3376094
bb5c496a,0.071491934
fa15dd75,0.30098787
8036d563,0.0208738
051b11a7,0.028610092
a708f6b7,0.04165591
8af64425,0.30748177
290a4ade,0.061695654
5ea8fd22,0.0302516
73f02c61,0.09939589
b364ac0f,0.052199036
27c4deeb,0.04979208
1a8f3e6d,0.07640849
75aea7ed,0.038093667
68bee360,0.1190872
7363f782,0.21395506
5f5a1be2,0.0861854
f2ab91ec,0.05888776
f7e13865,0.063404165
f70a331b,0.06545399
69fe770b,0.036829628
73b5ddeb,0.27996433
3aae4375,0.07600119
2beddf66,0.02881655
17b858f9,0.027853735
f75b14e8,0.042834524
67ec6a13,0.36903453
2466dcee,0.37292826
bbac557c,0.07590891
57d078f9,0.446278
6791adff,0.044678867
2fca45c7,0.23012312
ee7d1909,0.059303056
b87bf3c0,0.23931485
229a0726,0.030215992
e28fa553,0.15665945
e2d69e04,0.056080643
f99328eb,0.12343709
7a98e5bb,0.028017692
60d720a3,0.033361536
8f6d708a,0.06262467
91a293e8,0.30491754
dbff7610,0.06122146
c104bc78,0.13685794
b3bf2435,0.3785098
8611216e,0.1993019
2454293c,0.031498276
82d31364,0.08426113
f1f2d6aa,0.12913577
45599974,0.2846014
b8112306,0.034551714
7e317918,0.03472708
a30504be,0.028254405
f88200f4,0.16081966
97267956,0.09531691
2fec9bbc,0.08818776
4e5d317d,0.02015293
f8e37457,0.043070942
9411a009,0.026954511
166bf528,0.27378592
5429fbb6,0.062082313
49ff6d6e,0.107013606
19c94e0b,0.08661724
0ff75b46,0.2201567
224613bb,0.11640068
179720f1,0.0881804
1070bca3,0.034894235
a5d31df5,0.040089954
4e5c868d,0.09037446
653f68fe,0.033489015
3ebc771d,0.21823128
517bf648,0.19371034
254f8761,0.13244279
c844a662,0.35762617
7f6c85e8,0.025081066
35ee0cc8,0.2408524
c1d99fe2,0.111685134
55fc24ef,0.21918835
77e489c7,0.17207438
62ba2fba,0.037371367
ae4bfc26,0.041212954
22f1d021,0.068835914
72368746,0.03413241
55e87de8,0.06558898
c56dff49,0.036981195
ba724fb6,0.10000143
b97b9d93,0.025814228
7025ac12,0.092615135
bada76d3,0.391153
70a325eb,0.46309483
fb19ca5a,0.15811598
f6cd21a1,0.117591105
91752493,0.023952268
92059fdf,0.027975034
4d233ac6,0.033475645
46a1efca,0.047161546
23b90f81,0.14491205
2606c8da,0.037054375
23e6906d,0.052852083
cf75487d,0.026618028
e349f752,0.2917588
d4e83772,0.10147781
9952a8e0,0.020947961
edc38036,0.3375873
e4b71e52,0.08846224
ed39978f,0.2703905
5b7a7697,0.1891253
a4e3e0ba,0.020131284
1033c7f1,0.027513288
a16a0211,0.09908952
2df10e76,0.13586831
732df811,0.0662966
80c8726f,0.0786908
619bff69,0.027047424
ed7382a8,0.13479422
3043e183,0.0440087
8ab5791a,0.074402
6929face,0.09740274
6b5088da,0.1074527
685dc7f7,0.17559546
919bcd48,0.055356886
9a00037e,0.03273667
55f7ae64,0.044924185
fed81014,0.34655538
fd5e4491,0.067476794
e9c994b8,0.054291368
e4594222,0.05130571
a7b6e286,0.15588094
991360db,0.047994453
c5a0bc36,0.26795214
2287c9f7,0.35676587
0c9d90d6,0.026093286
41bfa3b9,0.05622906
b00a6f27,0.059636824
8a4b69ec,0.10399443
6ea9ffd2,0.173305
d0c5aa85,0.26401064
fc4b841d,0.18999164
db1a3c00,0.031617876
9b4f540a,0.030540192
7ac0c607,0.39259246
af95a93c,0.031403396
a8ca0988,0.52163094
e8a1b038,0.020573432
bb31d716,0.049219336
b86b400e,0.02875283
852abc08,0.09112429
ad4b1e5f,0.21141864
2ff5b818,0.020099115
bf15584a,0.1020523
4a3c0db7,0.028618116
5f7f0c55,0.41772172
9df0e397,0.085915506
03302054,0.32318726
000e4d9e,0.094847806
ad5943a9,0.092483826
f431031a,0.026881946
ee8dd67c,0.025671888
656072a3,0.047354065
846372d4,0.1616832
d1fd6caa,0.098266006
8a0a63af,0.046666723
670639bc,0.05604784
ae5b92db,0.043247163
41ccd2c6,0.05629795
bdd23ab2,0.13300411
270b42e3,0.03261028
ef8b96c3,0.13586502
bb8116c9,0.40640846
594a53d3,0.1491245
108caf2c,0.1430134
18a185e1,0.020775236
ff9fc164,0.08029552
8a590d23,0.090769775
166a19f7,0.1569837
ee20c405,0.06898135
814db0b5,0.07248891
b0f9b8a1,0.035684213
73ffc5f4,0.023289906
0aa2b925,0.09965864
f4bae3c6,0.019304475
92c81866,0.054420587
6f0826b2,0.069721825
d1a14d14,0.044198167
1e13d639,0.10375164
3956b1e1,0.046551842
f2c6d57c,0.02083926
29f80519,0.018334702
04b13fd2,0.04997147
ce36e512,0.052101664
8a4ba4e2,0.09676162
1443cf62,0.03240424
5125c494,0.0292603
604d8035,0.1390215
80866567,0.029693121
9bb623c2,0.11120682
a53a1a30,0.07208512
103e0f7d,0.59713274
cd3a841d,0.02289833
fb6b16a8,0.04185496
89f62393,0.06880753
2c85b2fa,0.1368635
75950669,0.07669324
d84ae194,0.24726047
77bad6f5,0.026860898
2b213b2c,0.70272595
8808e6a9,0.1300524
b5a09122,0.13770758
bf46c410,0.0800197
42cc8a1d,0.36047298
0744ba92,0.17584102
b9996281,0.23073553
471fb833,0.0316025
c449fd13,0.026277471
b059104a,0.032399107
ba61790b,0.029539479
deb5fa7a,0.13586803
71d5d6e4,0.057504486
766c271c,0.06960822
df127511,0.35129833
f7e04556,0.027090188
abe38822,0.055588752
0e3c91a6,0.06473978
efae8f71,0.08194683
31c9f140,0.052548848
aefc81ce,0.031220002
1fea3435,0.028076844
54d47ad8,0.05686807
df80a783,0.11194748
9bc43f7e,0.1346959
3e066076,0.18926188
67bdc946,0.33717772
32234ad9,0.039122265
77b15b7d,0.029112982
2e515d51,0.022293752
37a0837e,0.021471564
3dbfcd14,0.07745858
5fdd715e,0.05045081
1d762b15,0.044843227
9a0373f1,0.026715102
9bf77a71,0.095978215
32e355cf,0.046302274
134cc999,0.24768007
3a44e639,0.20812397
2c90f768,0.05027512
fb23d1c3,0.05420652
a5d3c172,0.14245455
583bd9b9,0.25647503
f5e0b71d,0.33613306
360675d0,0.29973328
cb61f387,0.050094534
017fd805,0.08255785
99e4baf5,0.09547542
56b0c4d1,0.29678714
b5ea45de,0.019956855
e0848af4,0.190532
811b25fd,0.03582858
33b6da32,0.02100966
62f88039,0.033496417
d010170b,0.12043411
27c58569,0.026729371
847b40a8,0.27190402
aea593cd,0.18671751
0d491a97,0.059703477
a0cf85b8,0.020430883
a7a651a9,0.022629242
8ed9e6f4,0.2969308
91274e51,0.029113716
078baec6,0.101297095
f3db7ee1,0.2519741
5dc80ac6,0.021981178
bb62445d,0.32161736
cd883145,0.06924874
35259134,0.07997072
08a82be5,0.1168684
5842c17d,0.35749808
b261977e,0.064957
8aa5e0d6,0.28334704
45228a20,0.030163715
7f302cb0,0.24618554
9df21469,0.07748084
baf3e801,0.10781159
66b1e1fc,0.049413573
fdfa8de9,0.040814765
cdd8bff0,0.051358353
019ac712,0.020957714
c96353d2,0.04238365
33fd8777,0.027989188
